Global frequency set at 1000000000000 ticks per second
500371000: system.mem_ctrl: Hit in Dirty Area: 0xb2ef8
500511000: system.mem_ctrl: Hit in Host Cache: 0x226b8
500551000: system.mem_ctrl: Hit in Host Cache: 0x226c0
500591000: system.mem_ctrl: Hit in Host Cache: 0x226c0
500631000: system.mem_ctrl: Hit in Host Cache: 0x226c8
500671000: system.mem_ctrl: Hit in Dirty Area: 0xb2c88
500812000: system.mem_ctrl: Hit in Host Cache: 0x226c8
500852000: system.mem_ctrl: Hit in Classify Area: 0xb2f00
500892000: system.mem_ctrl: Hit in Host Cache: 0x226c8
500932000: system.mem_ctrl: Hit in Host Cache: 0x226d0
500972000: system.mem_ctrl: Hit in Host Cache: 0x226b0
501012000: system.mem_ctrl: Hit in Host Cache: 0x226b0
501052000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501092000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501132000: system.mem_ctrl: Hit in Classify Area: 0xb2f08
501172000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501212000: system.mem_ctrl: Hit in Host Cache: 0x226c0
501252000: system.mem_ctrl: Hit in Host Cache: 0x226c0
501292000: system.mem_ctrl: Hit in Host Cache: 0x226c8
501332000: system.mem_ctrl: Hit in Dirty Area: 0xb2c90
501473000: system.mem_ctrl: Hit in Host Cache: 0x226c8
501513000: system.mem_ctrl: Hit in Classify Area: 0xb2f10
501553000: system.mem_ctrl: Hit in Host Cache: 0x226c8
501593000: system.mem_ctrl: Hit in Host Cache: 0x226d0
501633000: system.mem_ctrl: Hit in Host Cache: 0x226b0
501673000: system.mem_ctrl: Hit in Host Cache: 0x226b0
501713000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501753000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501793000: system.mem_ctrl: Hit in Classify Area: 0xb2f18
501833000: system.mem_ctrl: Hit in Host Cache: 0x226b8
501873000: system.mem_ctrl: Hit in Host Cache: 0x226c0
501913000: system.mem_ctrl: Hit in Host Cache: 0x226c0
